effect,category,hazard_sys_norm,type,n_clinset1,n_clinset2,n_clinsetnon
increase in serum uric acid,NA,metabolic,clinical,1,NA,NA
increase in total cholesterol,NA,metabolic,clinical,1,NA,NA
increase in urine concentration,NA,renal,nonclinical,NA,NA,1
increase ldl cholesterol,NA,metabolic,clinical,1,NA,NA
increase triglycerides,NA,metabolic,clinical,3,NA,NA
increased activated partial thromboplastin time,NA,hematologic,clinical,1,1,NA
increased adrenal gland weight,NA,endocrine,nonclinical,NA,NA,193
increased aerobic running capacity,NA,cardiovascular,nonclinical,NA,NA,1
increased alkaline phosphatase,NA,hepatic,clinical,NA,NA,NA
increased alkaline phosphatase activity,NA,hepatic,nonclinical,NA,NA,11
increased alveolar macrophage number,NA,hematologic,nonclinical,NA,NA,15
increased amylase,NA,gastrointestinal,clinical,2,1,NA
increased antral follicle count,NA,reproductive,nonclinical,NA,NA,4
increased aorta wall thickness,NA,cardiovascular,nonclinical,NA,NA,2
increased appetite,NA,metabolic,clinical,NA,NA,NA
increased basophil cell number,NA,hematologic,nonclinical,NA,NA,18
increased blood creatine phosphokinase,NA,musculoskeletal,clinical,NA,1,NA
increased blood pressure,NA,cardiovascular,clinical,2,NA,NA
increased blood urea nitrogen level,NA,renal,nonclinical,NA,NA,172
increased blood uric acid level,NA,renal,nonclinical,NA,NA,3
increased body weight,NA,metabolic,nonclinical,NA,NA,76
increased bone marrow adipose tissue amount,NA,musculoskeletal,nonclinical,NA,NA,3
increased brain weight,NA,nervous,nonclinical,NA,NA,48
increased brown fat cell lipid droplet size,NA,metabolic,nonclinical,NA,NA,1
increased brown fat cell number,NA,metabolic,nonclinical,NA,NA,2
increased cellular hemoglobin content,NA,hematologic,nonclinical,NA,NA,4
increased choline level,NA,no category,nonclinical,NA,NA,3
increased cholinesterase activity,NA,nervous,nonclinical,NA,NA,5
increased circulating alanine transaminase level,NA,hepatic,nonclinical,NA,NA,271
increased circulating aldosterone level,NA,endocrine,nonclinical,NA,NA,1
increased circulating alkaline phosphatase level,NA,hepatic,nonclinical,NA,NA,161
increased circulating amylase level,NA,gastrointestinal,nonclinical,NA,NA,10
increased circulating aspartate transaminase level,NA,hepatic,nonclinical,NA,NA,225
increased circulating bilirubin level,NA,hepatic,nonclinical,NA,NA,105
increased circulating calcium level,NA,metabolic,nonclinical,NA,NA,70
increased circulating chloride level,NA,metabolic,nonclinical,NA,NA,62
increased circulating cholesterol level,NA,metabolic,nonclinical,NA,NA,235
increased circulating corticosterone level,NA,endocrine,nonclinical,NA,NA,1
increased circulating creatine kinase level,NA,musculoskeletal,nonclinical,NA,NA,17
increased circulating creatinine level,NA,renal,nonclinical,NA,NA,87
increased circulating dihydrotestosterone level,NA,reproductive,nonclinical,NA,NA,1
increased circulating fibrinogen level,NA,hematologic,nonclinical,NA,NA,31
increased circulating free fatty acids level,NA,metabolic,nonclinical,NA,NA,2
increased circulating gamma-glutamyl transferase level,NA,hepatic,nonclinical,NA,NA,26
increased circulating gastrin level,NA,metabolic,nonclinical,NA,NA,10
increased circulating globulin level,NA,hematologic,nonclinical,NA,NA,86
increased circulating glucose level,NA,metabolic,nonclinical,NA,NA,71
increased circulating glutamate dehydrogenase level,NA,metabolic,nonclinical,NA,NA,2
increased circulating hdl cholesterol level,NA,metabolic,nonclinical,NA,NA,4
increased circulating lactate dehydrogenase level,NA,metabolic,nonclinical,NA,NA,15
increased circulating ldl cholesterol level,NA,metabolic,nonclinical,NA,NA,2
increased circulating lipase level,NA,metabolic,nonclinical,NA,NA,3
increased circulating luteinizing hormone level,NA,reproductive,nonclinical,NA,NA,4
increased circulating magnesium level,NA,metabolic,nonclinical,NA,NA,12
increased circulating osteocalcin level,NA,no category,nonclinical,NA,NA,1
increased circulating parathyroid hormone level,NA,endocrine,nonclinical,NA,NA,2
increased circulating phosphate level,NA,metabolic,nonclinical,NA,NA,111
increased circulating phospholipid level,NA,metabolic,nonclinical,NA,NA,18
increased circulating potassium level,NA,metabolic,nonclinical,NA,NA,84
increased circulating prolactin level,NA,endocrine,nonclinical,NA,NA,3
increased circulating serum albumin level,NA,metabolic,nonclinical,NA,NA,86
increased circulating sodium level,NA,metabolic,nonclinical,NA,NA,42
increased circulating testosterone level,NA,reproductive,nonclinical,NA,NA,3
increased circulating thyroxine level,NA,endocrine,nonclinical,NA,NA,12
increased circulating total protein level,NA,metabolic,nonclinical,NA,NA,124
increased circulating triglyceride level,NA,metabolic,nonclinical,NA,NA,92
increased circumference,NA,no category,nonclinical,NA,NA,1
increased colon length,NA,gastrointestinal,nonclinical,NA,NA,2
increased corpora lutea number,NA,reproductive,nonclinical,NA,NA,5
increased cpk,NA,musculoskeletal,clinical,NA,NA,NA
increased creatine kinase,NA,musculoskeletal,clinical,1,1,NA
increased creatine phosphokinase,NA,musculoskeletal,clinical,1,NA,NA
increased creatinine,NA,renal,clinical,NA,1,NA
increased defecation,incidental,gastrointestinal,clinical,1,2,NA
increased defecation amount,NA,gastrointestinal,nonclinical,NA,NA,5
"increased defecation,",incidental,gastrointestinal,clinical,NA,NA,NA
increased eosinophil cell number,NA,hematologic,nonclinical,NA,NA,31
increased epididymis weight,NA,reproductive,nonclinical,NA,NA,13
increased erythrocyte cell number,NA,hematologic,nonclinical,NA,NA,19
increased fasting glucose,NA,metabolic,clinical,1,NA,NA
increased fetal weight,NA,reproductive,nonclinical,NA,NA,5
increased fluid intake,NA,no category,nonclinical,NA,NA,79
increased follicle stimulating hormone level,NA,reproductive,nonclinical,NA,NA,2
increased food intake,NA,metabolic,nonclinical,NA,NA,129
increased ggt,NA,hepatic,clinical,2,NA,NA
increased gnawing activity,NA,no category,nonclinical,NA,NA,4
increased granulocyte number,NA,hematologic,nonclinical,NA,NA,6
increased haptoglobin level,NA,no category,nonclinical,NA,NA,1
increased heart rate,NA,cardiovascular,clinical,NA,NA,2
increased heart rate,NA,cardiovascular,nonclinical,NA,NA,2
increased heart weight,NA,cardiovascular,nonclinical,NA,NA,91
increased hematocrit,NA,hematologic,nonclinical,NA,NA,56
increased hematopoiesis [pe],NA,hematologic,nonclinical,NA,NA,5
increased hemoglobin,NA,hematologic,nonclinical,NA,NA,12
increased hemoglobin concentration,NA,hematologic,nonclinical,NA,NA,22
increased hemoglobin concentration distribution width,NA,hematologic,nonclinical,NA,NA,7
increased hemoglobin content,NA,hematologic,nonclinical,NA,NA,37
increased hepatocyte number,NA,hepatic,nonclinical,NA,NA,1
increased igm level,NA,immune,nonclinical,NA,NA,3
increased incretin,NA,no category,nonclinical,NA,NA,2
increased inr,NA,hematologic,clinical,1,NA,NA
increased inr c,NA,hematologic,clinical,NA,1,NA
increased insulin,NA,metabolic,clinical,1,NA,NA
increased intestine length,NA,gastrointestinal,nonclinical,NA,NA,3
increased kidney weight,NA,renal,nonclinical,NA,NA,222
increased large intestine length,NA,gastrointestinal,nonclinical,NA,NA,11
increased large unstained cell number,NA,no category,nonclinical,NA,NA,22
increased leukocyte cell number,NA,hematologic,nonclinical,NA,NA,38
increased lipase,NA,gastrointestinal,clinical,2,3,NA
increased lipoprotein lipase activity,NA,no category,nonclinical,NA,NA,1
increased liver glycogen level,NA,hepatic,nonclinical,NA,NA,4
increased liver weight,NA,hepatic,nonclinical,NA,NA,524
increased lung weight,NA,respiratory,nonclinical,NA,NA,80
increased lymphocyte cell number,NA,immune,nonclinical,NA,NA,80
increased macrophage cell number,NA,hematologic,nonclinical,NA,NA,2
increased magnesium,NA,metabolic,clinical,1,NA,NA
increased mean corpuscular hemoglobin,NA,hematologic,nonclinical,NA,NA,57
increased mean corpuscular hemoglobin concentration,NA,hematologic,nonclinical,NA,NA,9
increased mean corpuscular volume,NA,hematologic,nonclinical,NA,NA,64
increased mean platelet volume,NA,hematologic,nonclinical,NA,NA,7
increased mitotic index,NA,no category,nonclinical,NA,NA,4
increased monocyte cell number,NA,hematologic,nonclinical,NA,NA,76
increased mucification,NA,gastrointestinal,nonclinical,NA,NA,16
increased mucification present,NA,no category,nonclinical,NA,NA,2
increased myeloid cell number in bone marrow,NA,musculoskeletal,nonclinical,NA,NA,4
increased myeloid to erythroid ratio (m:e ratio) 10:1-200:1,NA,hematologic,nonclinical,NA,NA,3
increased neutrophil cell number,NA,hematologic,nonclinical,NA,NA,143
increased nitrate level,NA,no category,nonclinical,NA,NA,1
increased ovary weight,NA,reproductive,nonclinical,NA,NA,34
increased pancreas apoptosis,NA,endocrine,nonclinical,NA,NA,3
increased pancreas weight,NA,endocrine,nonclinical,NA,NA,11
increased partial thromboplastin time,NA,hematologic,nonclinical,NA,NA,40
increased pituitary gland weight,NA,endocrine,nonclinical,NA,NA,35
increased plasma cell number,NA,hematologic,nonclinical,NA,NA,3
increased plasma volume,NA,hematologic,nonclinical,NA,NA,2
increased prostate gland weight,NA,reproductive,nonclinical,NA,NA,10
increased prothrombin time,NA,hematologic,nonclinical,NA,NA,56
increased pulmonary respiratory rate,NA,respiratory,nonclinical,NA,NA,5
increased rbc distribution width,NA,hematologic,nonclinical,NA,NA,15
increased red blood cell count,NA,hematologic,nonclinical,NA,NA,66
increased red blood cell distribution width,NA,hematologic,nonclinical,NA,NA,15
increased renin activity,NA,endocrine,nonclinical,NA,NA,2
increased salivation,NA,gastrointestinal,clinical,NA,NA,191
increased salivation,NA,gastrointestinal,nonclinical,NA,NA,191
increased seminal vesicle weight,NA,reproductive,nonclinical,NA,NA,6
increased serum amylase,NA,gastrointestinal,clinical,NA,NA,NA
increased serum bile acid concentration,NA,metabolic,nonclinical,NA,NA,8
increased serum potassium,NA,metabolic,clinical,1,NA,NA
increased skeletal muscle mass,NA,musculoskeletal,nonclinical,NA,NA,1
increased spleen red pulp amount,NA,immune,nonclinical,NA,NA,3
increased spleen weight,NA,immune,nonclinical,NA,NA,139
increased spleen white pulp amount,NA,immune,nonclinical,NA,NA,1
increased stomach mucosa thickness,NA,gastrointestinal,nonclinical,NA,NA,5
increased susceptibility to weight gain,NA,metabolic,nonclinical,NA,NA,45
increased sweating,NA,dermal,clinical,4,NA,NA
increased testis weight,NA,reproductive,nonclinical,NA,NA,36
increased thymus weight,NA,immune,nonclinical,NA,NA,21
increased thyroid gland weight,NA,endocrine,nonclinical,NA,NA,104
increased thyroid-stimulating hormone level,NA,endocrine,nonclinical,NA,NA,17
increased trabecular bone mass,NA,musculoskeletal,nonclinical,NA,NA,7
increased triglycerides,NA,metabolic,clinical,1,NA,NA
increased triiodothyronine level,NA,endocrine,nonclinical,NA,NA,7
increased urinary epithelial cell count,NA,renal,nonclinical,NA,NA,6
increased urinary urate,NA,renal,nonclinical,NA,NA,1
increased urination,NA,renal,clinical,NA,2,NA
increased urination (c),NA,renal,clinical,NA,NA,NA
increased urine calcium level,NA,renal,nonclinical,NA,NA,19
increased urine chloride ion level,NA,renal,nonclinical,NA,NA,28
increased urine creatinine level,NA,renal,nonclinical,NA,NA,2
increased urine flow rate,NA,renal,nonclinical,NA,NA,63
increased urine glucose level,NA,renal,nonclinical,NA,NA,15
increased urine nitrite level,NA,renal,nonclinical,NA,NA,2
increased urine osmolality,NA,renal,nonclinical,NA,NA,4
increased urine ph,NA,renal,nonclinical,NA,NA,25
increased urine phosphate level,NA,renal,nonclinical,NA,NA,7
increased urine potassium level,NA,renal,nonclinical,NA,NA,20
increased urine protein level,NA,renal,nonclinical,NA,NA,42
increased urine sodium level,NA,renal,nonclinical,NA,NA,25
increased urobilinogen level,NA,hepatic,nonclinical,NA,NA,2
increased uterus weight,NA,reproductive,nonclinical,NA,NA,10
increased vertical activity,NA,no category,nonclinical,NA,NA,2
infection,incidental,immune,clinical,4,4,NA
infection viral,incidental,immune,clinical,NA,NA,NA
"infection viral,; at patients: dyskinesia",incidental,immune,clinical,1,NA,NA
infection/sepsis,NA,immune,clinical,NA,1,NA
infection chest,incidental,immune,clinical,NA,NA,NA
infections and infestations,incidental,immune,clinical,3,NA,NA
infections and i nfestations b,incidental,immune,clinical,NA,1,NA
inflammation,NA,immune,nonclinical,NA,NA,42
influenza,incidental,no category,clinical,6,3,NA
"influenza like illness,",incidental,no category,clinical,1,NA,NA
influenza ,incidental,no category,clinical,NA,NA,NA
influenza-like illness,incidental,no category,clinical,NA,NA,NA
influenza-like symptoms,incidental,no category,clinical,NA,NA,NA
influenze,incidental,no category,clinical,1,NA,NA
inguinal part of abdomen,NA,gastrointestinal,nonclinical,NA,NA,7
injection site inflammation,NA,no category,nonclinical,NA,NA,2
injection site scab,NA,no category,nonclinical,NA,NA,3
injury,incidental,no category,clinical,1,NA,NA
insomnia,incidental,nervous,clinical,21,8,NA
"insomnia, middle insomnia",incidental,nervous,clinical,NA,NA,NA
insomnia 3,incidental,nervous,clinical,NA,1,NA
intestinal edema,NA,gastrointestinal,nonclinical,NA,NA,15
intestinal hemorrhage,NA,gastrointestinal,nonclinical,NA,NA,8
intestinal hyperplasia,NA,gastrointestinal,nonclinical,NA,NA,15
intestinal inflammation,NA,gastrointestinal,nonclinical,NA,NA,18
intestinal necrosis,NA,gastrointestinal,nonclinical,NA,NA,29
intestinal ulcer,NA,gastrointestinal,nonclinical,NA,NA,13
intestinal villus,NA,gastrointestinal,nonclinical,NA,NA,2
intestine atrophy,NA,gastrointestinal,nonclinical,NA,NA,13
intestine degeneration,NA,gastrointestinal,nonclinical,NA,NA,7
intestine hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,2
intestine weight increase,NA,gastrointestinal,nonclinical,NA,NA,8
intramyelinic edema,NA,nervous,nonclinical,NA,NA,1
intratubular hyaline casts,NA,renal,nonclinical,NA,NA,15
invasive endometrial cancer,NA,reproductive,clinical,1,NA,NA
iris synechia,NA,ocular,nonclinical,NA,NA,2
irregular menses,NA,reproductive,clinical,NA,1,NA
irritability,NA,nervous,clinical,2,4,NA
irritability behavior,NA,nervous,nonclinical,NA,NA,3
jejunal ulcer,NA,gastrointestinal,nonclinical,NA,NA,3
jejunum discoloration,NA,gastrointestinal,nonclinical,NA,NA,5
jejunum hypertrophy,NA,gastrointestinal,nonclinical,NA,NA,2
joint disorder,NA,musculoskeletal,clinical,NA,1,NA
joint inflammation,NA,musculoskeletal,nonclinical,NA,NA,3
joint related signs and symptoms,NA,musculoskeletal,clinical,NA,NA,NA
joint sprain,incidental,no category,clinical,NA,NA,NA
juxtaglomerular cell hyperplasia,NA,renal,nonclinical,NA,NA,13
karyomegaly,NA,no category,nonclinical,NA,NA,6
keratinized cell of the oral mucosa,NA,gastrointestinal,nonclinical,NA,NA,1
keratitis,NA,ocular,nonclinical,NA,NA,3
keratoconjunctivitis sicca,incidental,ocular,clinical,NA,1,NA
ketonuria,NA,metabolic,nonclinical,NA,NA,23
kidney atrophy,NA,renal,nonclinical,NA,NA,1
kidney calculi,NA,renal,nonclinical,NA,NA,7
kidney congestion,NA,renal,nonclinical,NA,NA,3
kidney cysts,NA,renal,nonclinical,NA,NA,4
kidney degeneration,NA,renal,nonclinical,NA,NA,15
kidney epithelium development,NA,renal,nonclinical,NA,NA,2
kidney epithelium hyperplasia,NA,renal,nonclinical,NA,NA,9
kidney finding,NA,renal,nonclinical,NA,NA,3
kidney hemorrhage,NA,renal,nonclinical,NA,NA,7
kidney inflammation,NA,renal,nonclinical,NA,NA,54
kidney; dilatation,NA,renal,nonclinical,NA,NA,5
kyphosis,NA,musculoskeletal,nonclinical,NA,NA,1
lack of skin elasticity,NA,dermal,nonclinical,NA,NA,3
lacrimal gland inflammation,NA,ocular,nonclinical,NA,NA,1
lactation failure,NA,reproductive,nonclinical,NA,NA,2
language problems,NA,nervous,clinical,NA,2,NA
languange problems,NA,nervous,clinical,1,NA,NA
large intestinal inflammation,NA,gastrointestinal,nonclinical,NA,NA,2
large intestine hemorrhage,NA,gastrointestinal,nonclinical,NA,NA,2
lateral orientation,NA,no category,nonclinical,NA,NA,8
ldh >1170 u/l (high),NA,no category,clinical,NA,NA,NA
ldh increased,NA,metabolic,clinical,2,NA,NA
ldl cholesterol,NA,metabolic,clinical,2,NA,NA
ldl cholesterol increase,NA,metabolic,clinical,1,NA,NA
ldl shifts,NA,metabolic,clinical,1,NA,NA
"leg cramps,dehydration",incidental,no category,clinical,1,NA,NA
leg edema,incidental,no category,clinical,NA,1,NA
leg pain,incidental,no category,clinical,1,NA,NA
lemon yellow skin,NA,dermal,nonclinical,NA,NA,4
lens opacities,NA,ocular,nonclinical,NA,NA,7
lesion of brain,NA,nervous,nonclinical,NA,NA,1
lesion of spleen,NA,immune,nonclinical,NA,NA,3
lesions on foot,NA,no category,nonclinical,NA,NA,2
lethargy,incidental,nervous,clinical,NA,NA,16
lethargy,NA,nervous,nonclinical,NA,NA,16
leucopenia,NA,hematologic,clinical,1,NA,NA
leukocytes,NA,hematologic,clinical,1,NA,NA
leukopenia,NA,hematologic,clinical,6,2,NA
lft abnormal,NA,hepatic,clinical,1,NA,NA
libido change,NA,nervous,clinical,1,NA,NA
"libido decrease,impotence",NA,nervous,clinical,1,NA,NA
libido decreased,NA,nervous,clinical,1,3,NA
licking,NA,no category,nonclinical,NA,NA,3
limb injury,incidental,no category,clinical,NA,NA,NA
limb myoclonus,NA,nervous,nonclinical,NA,NA,1
limb posture,NA,nervous,nonclinical,NA,NA,1
lip discoloration,NA,no category,nonclinical,NA,NA,1
lip dry,incidental,gastrointestinal,clinical,1,NA,NA
lipase,NA,gastrointestinal,clinical,NA,NA,NA
lipase change,NA,gastrointestinal,clinical,1,NA,NA
lipase increase,NA,gastrointestinal,clinical,2,NA,NA
lipase increased,NA,gastrointestinal,clinical,NA,2,NA
"lipid accumulation in kidney, especially in proximal convoluted tubules",NA,renal,nonclinical,NA,NA,1
lipidosis,NA,metabolic,nonclinical,NA,NA,16
lipodystrophies,NA,metabolic,clinical,NA,NA,NA
lipofuscin accumulation,NA,no category,nonclinical,NA,NA,1
liquid stools,NA,gastrointestinal,clinical,1,NA,NA
liver,NA,hepatic,nonclinical,NA,NA,4
liver cysts,NA,hepatic,nonclinical,NA,NA,1
liver degeneration,NA,hepatic,nonclinical,NA,NA,28
liver dysplastic foci,NA,hepatic,nonclinical,NA,NA,2
liver enzyme elevation,NA,hepatic,clinical,1,NA,NA
liver enzyme increase cmq,NA,hepatic,clinical,1,NA,NA
liver fibrosis,NA,hepatic,nonclinical,NA,NA,7
liver finding,NA,hepatic,nonclinical,NA,NA,1
liver function abnormalities,NA,hepatic,clinical,NA,1,NA
liver function tests multiple abnormalities,NA,hepatic,clinical,NA,NA,NA
liver hemorrhage,NA,hepatic,nonclinical,NA,NA,4
liver hyperplasia,NA,hepatic,nonclinical,NA,NA,11
liver hypoplasia,NA,hepatic,nonclinical,NA,NA,1
liver inflammation,NA,hepatic,nonclinical,NA,NA,38
liver mass,NA,hepatic,nonclinical,NA,NA,4
liver nodules,NA,hepatic,nonclinical,NA,NA,4
liver transaminase elevations,NA,hepatic,clinical,NA,1,NA
liver vascular congestion,NA,hepatic,nonclinical,NA,NA,5
liver; hypertrophy,NA,hepatic,nonclinical,NA,NA,123
liver-related adverse effects,NA,hepatic,clinical,2,NA,NA
local throat irritation,incidental,no category,clinical,NA,1,NA
long limbs,NA,no category,nonclinical,NA,NA,1
loose stools,NA,gastrointestinal,clinical,NA,NA,NA
loss of terminal digits,NA,no category,nonclinical,NA,NA,1
low hematocrit,NA,hematologic,clinical,2,NA,NA
low lymphocytes,NA,hematologic,clinical,1,NA,NA
low neutrophils,NA,hematologic,clinical,1,NA,NA
low reticulocyte count,NA,hematologic,clinical,1,NA,NA
low wbc,NA,hematologic,clinical,1,NA,NA
low white blood cell count (≤2.8 x 109/l),NA,hematologic,clinical,NA,NA,NA
lung cyst,NA,respiratory,nonclinical,NA,NA,1
lung hemorrhage,NA,respiratory,nonclinical,NA,NA,35
lung hypertrophy,NA,respiratory,nonclinical,NA,NA,1
lung inflammation,NA,respiratory,nonclinical,NA,NA,42
lung weight to body weight ratio,NA,respiratory,nonclinical,NA,NA,4
lymph node,NA,hematologic,nonclinical,NA,NA,3
lymph node atrophy,NA,hematologic,nonclinical,NA,NA,29
lymph node discoloration,NA,hematologic,nonclinical,NA,NA,16
lymph node hemorrhage,NA,hematologic,nonclinical,NA,NA,10
lymph node hyperplasia,NA,hematologic,nonclinical,NA,NA,13
lymph node inflammation,NA,hematologic,nonclinical,NA,NA,18
lymph node mass,NA,hematologic,nonclinical,NA,NA,1
lymph node necrosis,NA,hematologic,nonclinical,NA,NA,6
lymphangiectasis,NA,hematologic,nonclinical,NA,NA,1
lymphocele,NA,hematologic,clinical,2,NA,NA
lymphocyte decrease,NA,hematologic,clinical,3,NA,NA
lymphocytes,NA,hematologic,clinical,NA,1,NA
lymphocytes decreased,NA,hematologic,clinical,NA,2,NA
lymphocytosis,NA,hematologic,nonclinical,NA,NA,4
lymphoid hyperplasia,NA,hematologic,nonclinical,NA,NA,12
lymphoid hypoplasia,NA,hematologic,nonclinical,NA,NA,5
lymphoid tissue,NA,hematologic,nonclinical,NA,NA,2
lymphopenia,NA,hematologic,clinical,5,4,25
lymphopenia,NA,hematologic,nonclinical,5,4,25
macrocytosis,NA,no category,nonclinical,NA,NA,2
macrophage,NA,hematologic,nonclinical,NA,NA,2
magnesium decrease,NA,metabolic,clinical,1,NA,NA
magnesium decreased,NA,metabolic,clinical,NA,1,NA
major leg amputation,NA,no category,clinical,NA,NA,NA
malaise,incidental,no category,clinical,NA,1,NA
malaise & fatigue,incidental,no category,clinical,1,NA,NA
malaise/fatigue,incidental,no category,clinical,NA,NA,NA
male genital mycotic infections,NA,immune,clinical,NA,2,NA
male genital mycotic infections (d),incidental,no category,clinical,NA,NA,NA
maliase/fatigue,incidental,no category,clinical,NA,NA,NA
malocclusion,NA,no category,nonclinical,NA,NA,19
mammary gland duct hyperplasia,NA,reproductive,nonclinical,NA,NA,1
mammary gland epithelial cell proliferation,NA,reproductive,nonclinical,NA,NA,1
mammary gland fluid/secretion,NA,reproductive,nonclinical,NA,NA,1
mammary gland hyperplasia,NA,reproductive,nonclinical,NA,NA,26
mass,NA,no category,nonclinical,NA,NA,2
mass of skin,NA,dermal,nonclinical,NA,NA,1
mass of uterus,NA,reproductive,nonclinical,NA,NA,1
masses and nodules,NA,no category,nonclinical,NA,NA,5
mastitis,NA,reproductive,nonclinical,NA,NA,1
material entity,NA,no category,nonclinical,NA,NA,33
material entity in digestive tract,NA,no category,nonclinical,NA,NA,17
mch,NA,hematologic,clinical,1,NA,NA
mch - low,NA,no category,nonclinical,NA,NA,6
mean corpuscular volume elevation,NA,hematologic,clinical,1,NA,NA
mean vital sign parameters,NA,cardiovascular,clinical,1,NA,NA
median duration of treatment,NA,no category,clinical,NA,1,NA
median duration of treatment (wks),NA,no category,clinical,NA,NA,NA
melena,NA,no category,nonclinical,NA,NA,5
memory impairment,NA,nervous,clinical,1,1,NA
menorrhagia,NA,reproductive,clinical,NA,NA,NA
menorrhagia (including increased uterine bleeding  (a)),NA,reproductive,clinical,NA,NA,NA
menstrual disorder,NA,reproductive,clinical,NA,NA,NA
menstrual irregularity,NA,reproductive,clinical,NA,1,NA
mental slowing,NA,nervous,clinical,NA,NA,NA
mesenteric lymph node,NA,hematologic,nonclinical,NA,NA,11
metabolic and endocrine disorders,NA,metabolic,clinical,NA,NA,NA
metabolic toxicity,NA,metabolic,clinical,NA,1,NA
metabolism and nutrition disorders appetite decreased 2,NA,metabolic,clinical,NA,1,NA
metaplasia,NA,no category,nonclinical,NA,NA,4
microcytosis,NA,no category,nonclinical,NA,NA,1
micturition frequency,NA,renal,clinical,NA,NA,NA
migraine,incidental,nervous,clinical,2,NA,NA
mineralisation,NA,no category,nonclinical,NA,NA,20
mineralization of renal cortex,NA,renal,nonclinical,NA,NA,29
"mineralization, cardiomyocyte or myocardium",NA,cardiovascular,nonclinical,NA,NA,11
misaligned incisors,NA,no category,nonclinical,NA,NA,2
mitochondrial swelling,NA,no category,nonclinical,NA,NA,2
mononuclear cell infiltrates,NA,no category,nonclinical,NA,NA,3
mood altered,NA,nervous,clinical,NA,NA,NA
mood problems,NA,nervous,clinical,NA,1,NA
morbidity - disease rate,NA,no category,nonclinical,NA,NA,1
moribund,NA,no category,nonclinical,NA,NA,2
mortality,NA,no category,clinical,NA,NA,NA
motion sickess,incidental,otic,clinical,1,NA,NA
motion sickness,incidental,otic,clinical,NA,NA,NA
mottling of liver,NA,hepatic,nonclinical,NA,NA,6
mouth movement,NA,no category,nonclinical,NA,NA,5
mouth ulceration,NA,gastrointestinal,clinical,1,NA,NA
mucosal inflammation,NA,gastrointestinal,clinical,2,1,NA
mucosal ulcer,NA,no category,nonclinical,NA,NA,3
mucositis,NA,gastrointestinal,clinical,1,2,NA
mucositis/stomatitis,NA,gastrointestinal,clinical,1,NA,NA
multinucleated giant cell,NA,no category,nonclinical,NA,NA,2
multinucleated hepatocyte,NA,hepatic,nonclinical,NA,NA,8
murine forestomach,NA,renal,nonclinical,NA,NA,2
muscle contraction,NA,musculoskeletal,nonclinical,NA,NA,1
muscle contractions involuntary,NA,musculoskeletal,clinical,NA,NA,NA
muscle cramp,NA,musculoskeletal,clinical,NA,NA,NA
muscle degeneration,NA,musculoskeletal,nonclinical,NA,NA,16
muscle pains,incidental,musculoskeletal,clinical,NA,NA,NA
muscle rigidity,NA,musculoskeletal,nonclinical,NA,NA,1
muscle spasm,NA,musculoskeletal,nonclinical,NA,NA,2
muscle spasms,NA,musculoskeletal,clinical,6,4,NA
muscle strain,NA,musculoskeletal,clinical,NA,NA,NA
muscle tightness,NA,musculoskeletal,clinical,1,NA,NA
muscle twitching,NA,musculoskeletal,clinical,NA,1,NA
muscle weakness,NA,musculoskeletal,clinical,NA,NA,NA
musculoskeletal pain,incidental,musculoskeletal,clinical,1,3,NA
musculoskeletal pain (a),incidental,musculoskeletal,clinical,NA,NA,NA
musculoskeletal stiffness,NA,musculoskeletal,clinical,NA,NA,NA
musculoskeletal toxicity,NA,musculoskeletal,clinical,NA,NA,NA
musculoskeletal weakness,NA,musculoskeletal,clinical,1,NA,NA
musculoskeletal arthralgia back pain myalgia/limb pain,incidental,musculoskeletal,clinical,NA,NA,NA
musculoskeletal trauma,NA,musculoskeletal,clinical,NA,NA,NA
myalgia,NA,musculoskeletal,clinical,5,6,NA
"myalgia,cpk increase",NA,musculoskeletal,clinical,1,NA,NA
myalgia/limb pain,incidental,musculoskeletal,clinical,1,NA,NA
mydriasis,incidental,ocular,clinical,1,NA,15
mydriasis,NA,ocular,nonclinical,1,NA,15
myeloid hyperplasia,NA,musculoskeletal,nonclinical,NA,NA,4
myeloid to erythroid ratio increase,NA,no category,nonclinical,NA,NA,3
myocardium degeneration,NA,cardiovascular,nonclinical,NA,NA,18
myocardium necrosis,NA,cardiovascular,nonclinical,NA,NA,8
myoclonic spasms,NA,no category,nonclinical,NA,NA,2
myoclonus,NA,nervous,clinical,NA,NA,NA
myometrium hypoplasia,NA,reproductive,nonclinical,NA,NA,1
myopathy,NA,musculoskeletal,clinical,1,NA,11
myopathy,NA,musculoskeletal,nonclinical,1,NA,11
myopathy with or without rhabdomyolysis,NA,musculoskeletal,clinical,1,NA,NA
myositis,NA,musculoskeletal,nonclinical,NA,NA,6
na,NA,NA,clinical,3,NA,NA
NA,NA,NA,clinical,NA,NA,18
NA,NA,NA,nonclinical,NA,NA,18
nail abnormalities §,NA,dermal,clinical,NA,1,NA
nail disorder,NA,dermal,clinical,1,NA,NA
nail disorders,NA,dermal,clinical,NA,1,NA
nail effects,NA,dermal,clinical,1,NA,NA
nail toxicity ¶,NA,dermal,clinical,NA,1,NA
nasal bone hyperplasia,NA,musculoskeletal,nonclinical,NA,NA,2
nasal congestion,incidental,respiratory,clinical,1,2,NA
nasal congestion (including sinus congestion),incidental,respiratory,clinical,NA,NA,NA
nasal inflammation,NA,respiratory,nonclinical,NA,NA,7
